CustomerID,CustomerName,Region,SubscriptionType,SubscriptionStart,SubscriptionEnd,Canceled,Revenue,Subscription duration,AVG Subscription duration
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,"2,638",365,365.3498387
202,Jane,South,Premium,2/28/2022,2/28/2023,TRUE,"2,456",365,365.349849
203,Alex,East,Basic,3/31/2022,3/31/2023,FALSE,"2,833",365,365.3498594
204,Maria,West,Standard,4/30/2022,4/30/2023,TRUE,"1,309",365,365.3498698
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,"2,153",365,365.3498801
206,Ella,South,Premium,6/30/2022,6/30/2023,TRUE,"1,317",365,365.3498905
207,Mike,East,Basic,7/31/2022,7/31/2023,FALSE,"2,991",365,365.3499008
208,Sara,West,Standard,8/31/2022,8/31/2023,FALSE,"1,278",365,365.3499112
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,"1,296",365,365.3499215
210,Eva,South,Premium,10/31/2022,10/31/2023,TRUE,"1,168",365,365.3499319
211,Liam,East,Basic,11/30/2022,11/30/2023,FALSE,"2,502",365,365.3499423
212,Anna,West,Standard,12/31/2022,12/31/2023,FALSE,"2,855",365,365.3499526
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,"1,807",365,365.349963
214,Zoe,South,Premium,2/28/2023,2/29/2024,FALSE,"1,078",366,365.3499734
215,Paul,East,Basic,3/31/2023,3/31/2024,FALSE,"2,285",366,365.3499541
216,Grace,West,Standard,4/30/2023,4/30/2024,TRUE,"1,960",366,365.3499349
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,"2,631",366,365.3499156
218,Sophia,South,Premium,6/30/2023,6/30/2024,FALSE,"2,485",366,365.3498964
219,Dan,East,Basic,7/31/2023,7/31/2024,FALSE,"1,980",366,365.3498771
220,Nina,West,Standard,8/31/2023,8/31/2024,TRUE,"2,443",366,365.3498579
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,"1,728",365,365.3498386
202,Jane,South,Premium,2/28/2022,2/28/2023,TRUE,"1,360",365,365.349849
203,Alex,East,Basic,3/31/2022,3/31/2023,FALSE,"2,787",365,365.3498593
204,Maria,West,Standard,4/30/2022,4/30/2023,TRUE,"1,143",365,365.3498697
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,"2,996",365,365.34988
206,Ella,South,Premium,6/30/2022,6/30/2023,TRUE,"2,040",365,365.3498904
207,Mike,East,Basic,7/31/2022,7/31/2023,FALSE,"1,873",365,365.3499008
208,Sara,West,Standard,8/31/2022,8/31/2023,FALSE,"1,312",365,365.3499111
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,"2,258",365,365.3499215
210,Eva,South,Premium,10/31/2022,10/31/2023,TRUE,"1,921",365,365.3499319
211,Liam,East,Basic,11/30/2022,11/30/2023,FALSE,"1,286",365,365.3499422
212,Anna,West,Standard,12/31/2022,12/31/2023,FALSE,"2,597",365,365.3499526
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,"2,275",365,365.349963
214,Zoe,South,Premium,2/28/2023,2/29/2024,FALSE,"1,019",366,365.3499733
215,Paul,East,Basic,3/31/2023,3/31/2024,FALSE,"2,212",366,365.3499541
216,Grace,West,Standard,4/30/2023,4/30/2024,TRUE,"2,511",366,365.3499348
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,"1,308",366,365.3499156
218,Sophia,South,Premium,6/30/2023,6/30/2024,FALSE,"1,925",366,365.3498963
219,Dan,East,Basic,7/31/2023,7/31/2024,FALSE,"1,047",366,365.349877
220,Nina,West,Standard,8/31/2023,8/31/2024,TRUE,"2,639",366,365.3498578
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,"1,829",365,365.3498385
202,Jane,South,Premium,2/28/2022,2/28/2023,TRUE,"1,067",365,365.3498489
203,Alex,East,Basic,3/31/2022,3/31/2023,FALSE,"1,125",365,365.3498592
204,Maria,West,Standard,4/30/2022,4/30/2023,TRUE,"2,633",365,365.3498696
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,"2,633",365,365.34988
206,Ella,South,Premium,6/30/2022,6/30/2023,TRUE,"2,850",365,365.3498903
207,Mike,East,Basic,7/31/2022,7/31/2023,FALSE,"1,845",365,365.3499007
208,Sara,West,Standard,8/31/2022,8/31/2023,FALSE,"2,947",365,365.3499111
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,"2,919",365,365.3499215
